No,FieldIndex,Explanation,Piece,TargetYN,Except1,Except2,ListYN,IsLeaf,SourceType,IsEnum,Title,Description,Rules,Depth,L1,L2,L3,L4,L5,L6,L7,Idx,Type
89,protocolSection.designModule.nPtrsToThisExpAccNctId,Identifier string for this element.,NPtrsToThisExpAccNCTId,N,,,N,Y,NUMERIC,N,Number of References to an Expanded Access Study,Number of studies that reference this EA study,Internally calculated,3,protocolSection,designModule,nPtrsToThisExpAccNctId,,,,,1.1.1,NUMERIC - number
90,protocolSection.designModule.expandedAccessTypes,Container or field used by the reporting schema; see child elements for specifics.,ExpandedAccessTypes,N,,,N,N,STRUCT,N,Expanded Access Type,"The type(s) of expanded access for which the investigational drug product (including a biological product) is available, as specified in U.S. FDA regulations",Required for EA,3,protocolSection,designModule,expandedAccessTypes,,,,,1.1.1,STRUCT - ExpandedAccessTypes
91,protocolSection.designModule.expandedAccessTypes.individual,Container or field used by the reporting schema; see child elements for specifics.,ExpAccTypeIndividual,N,,,N,Y,BOOLEAN,N,Individual Patients,"For individual participants, including for emergency use, as specified in 21 CFR 312.310. Allows a single patient, with a serious disease or condition who cannot participate in a clinical trial, access to a drug or biological product that has not been approved by the FDA. This category also includes access in an emergency situation.",,4,protocolSection,designModule,expandedAccessTypes,individual,,,,1.1.1.1,BOOLEAN - boolean
92,protocolSection.designModule.expandedAccessTypes.intermediate,Container or field used by the reporting schema; see child elements for specifics.,ExpAccTypeIntermediate,N,,,N,Y,BOOLEAN,N,Intermediate-type Population,"For intermediate-size participant populations, as specified in 21 CFR 312.315. Allows more than one patient (but generally fewer patients than through a Treatment IND/Protocol) access to a drug or biological product that has not been approved by the FDA. This type of expanded access is used when multiple patients with the same disease or condition seek access to a specific drug or biological product that has not been approved by the FDA.",,4,protocolSection,designModule,expandedAccessTypes,intermediate,,,,1.1.1.1,BOOLEAN - boolean
93,protocolSection.designModule.expandedAccessTypes.treatment,Container or field used by the reporting schema; see child elements for specifics.,ExpAccTypeTreatment,N,,,N,Y,BOOLEAN,N,Treatment IND/Protocol,"Under a treatment IND or treatment protocol, as specified in 21 CFR 312.320. Allows a large, widespread population access to a drug or biological product that has not been approved by the FDA. This type of expanded access can only be provided if the product is already being developed for marketing for the same use as the expanded access use.",,4,protocolSection,designModule,expandedAccessTypes,treatment,,,,1.1.1.1,BOOLEAN - boolean
94,protocolSection.designModule.patientRegistry,Container or field used by the reporting schema; see child elements for specifics.,PatientRegistry,N,,,N,Y,BOOLEAN,N,Patient Registry,A type of observational study that collects information about patients' medical conditions and/or treatments to better understand how a condition or treatment affects patients in the real world.,,3,protocolSection,designModule,patientRegistry,,,,,1.1.1,BOOLEAN - boolean
95,protocolSection.designModule.targetDuration,Container or field used by the reporting schema; see child elements for specifics.,TargetDuration,N,,,N,Y,TIME,N,Target Follow-Up Duration,,Required for OBS that are Patient Registry,3,protocolSection,designModule,targetDuration,,,,,1.1.1,TIME - NormalizedTime
96,protocolSection.designModule.phases,"Study phase(s), applicable for drug/biologic trials: ARRAY of ENUM (NA, EARLY_PHASE1, PHASE1, PHASE2, PHASE3, PHASE4)",Phase,Y,,,Y,Y,TEXT,Y,Study Phase,,"For INT studies of a drug or biologic product. Can have Missing or N/A in addition to Phases. If Missing, nothing is displayed on public site. If N/A, public site displays ""Not Applicable""
 N/A is recommended for trials that do not involve drug or biologic products.
 Pulldown menu in PRS can have combo of 2 phases, 1&2, or 2&3.",3,protocolSection,designModule,phases,,,,,1.1.1,TEXT - Phase[]
97,protocolSection.designModule.designInfo,Container for assignment/mode/masking details describing study design.,DesignInfo,N,,,N,N,STRUCT,N,Design Info,,,3,protocolSection,designModule,designInfo,,,,,1.1.1,STRUCT - DesignInfo
98,protocolSection.designModule.designInfo.allocation,"Method of assigning participants: ENUM (RANDOMIZED, NON_RANDOMIZED, NA)",DesignAllocation,Y,,,N,Y,TEXT,Y,Design Allocation,,Required for FRED (INT). Marked as [Missing] for Withheld studies,4,protocolSection,designModule,designInfo,allocation,,,,1.1.1.1,TEXT - DesignAllocation
99,protocolSection.designModule.designInfo.interventionModel,"Type of intervention design: ENUM (SINGLE_GROUP, PARALLEL, CROSSOVER, FACTORIAL, SEQUENTIAL)",DesignInterventionModel,Y,,,N,Y,TEXT,Y,Interventional Study Design,,Required for FRED (INT). Marked as [Missing] for Withheld studies,4,protocolSection,designModule,designInfo,interventionModel,,,,1.1.1.1,TEXT - InterventionalAssignment
100,protocolSection.designModule.designInfo.interventionModelDescription,Free-text description providing details/context.,DesignInterventionModelDescription,N,,,N,Y,MARKUP,N,Interventional Study Design Description,,,4,protocolSection,designModule,designInfo,interventionModelDescription,,,,1.1.1.1,MARKUP - markup
101,protocolSection.designModule.designInfo.primaryPurpose,Container or field used by the reporting schema; see child elements for specifics.,DesignPrimaryPurpose,N,,,N,Y,TEXT,Y,Design Primary Purpose,,Required for FRED (INT). Marked as [Missing] for Withheld studies,4,protocolSection,designModule,designInfo,primaryPurpose,,,,1.1.1.1,TEXT - PrimaryPurpose
102,protocolSection.designModule.designInfo.observationalModel,"Study model for observational studies: ENUM (COHORT, CASE_CONTROL, CASE_ONLY, CASE_CROSSOVER, ECOLOGIC_OR_COMMUNITY, FAMILY_BASED, DEFINED_POPULATION, NATURAL_HISTORY, OTHER)",DesignObservationalModel,Y,,,N,Y,TEXT,Y,Observational Study Model,,Required for OBS but [Missing] is allowed,4,protocolSection,designModule,designInfo,observationalModel,,,,1.1.1.1,TEXT - ObservationalModel
103,protocolSection.designModule.designInfo.timePerspective,Container or field used by the reporting schema; see child elements for specifics.,DesignTimePerspective,N,,,N,Y,TEXT,Y,Time Perspective,,Required for OBS but [Missing] is allowed,4,protocolSection,designModule,designInfo,timePerspective,,,,1.1.1.1,TEXT - DesignTimePerspective
104,protocolSection.designModule.designInfo.maskingInfo,Container that groups related details for this element.,DesignMaskingInfo,N,,,N,N,STRUCT,N,,,,4,protocolSection,designModule,designInfo,maskingInfo,,,,1.1.1.1,STRUCT - MaskingBlock
105,protocolSection.designModule.designInfo.maskingInfo.masking,"Level of blinding: ENUM (NONE, SINGLE, DOUBLE, TRIPLE, QUADRUPLE)",DesignMasking,Y,,,N,Y,TEXT,Y,Design Masking,,,5,protocolSection,designModule,designInfo,maskingInfo,masking,,,1.1.1.1.1,TEXT - DesignMasking
106,protocolSection.designModule.designInfo.maskingInfo.maskingDescription,Detailed description of masking: TEXT (max 1000 chars),DesignMaskingDescription,N,Y,Y,N,Y,MARKUP,N,Masking Description,,,5,protocolSection,designModule,designInfo,maskingInfo,maskingDescription,,,1.1.1.1.1,MARKUP (max 1000 chars) - markup
107,protocolSection.designModule.designInfo.maskingInfo.whoMasked,"Groups involved in masking: ARRAY of ENUM (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)",DesignWhoMasked,Y,,,Y,Y,TEXT,Y,,,Required for FRED (INT). Marked as [Missing] for Withheld studies,5,protocolSection,designModule,designInfo,maskingInfo,whoMasked,,,1.1.1.1.1,TEXT - WhoMasked[]
108,protocolSection.designModule.bioSpec,Container or field used by the reporting schema; see child elements for specifics.,BioSpec,N,,,N,N,STRUCT,N,,,,3,protocolSection,designModule,bioSpec,,,,,1.1.1,STRUCT - BioSpec
109,protocolSection.designModule.bioSpec.retention,Container or field used by the reporting schema; see child elements for specifics.,BioSpecRetention,N,,,N,Y,TEXT,Y,Biospecimen Retention,,,4,protocolSection,designModule,bioSpec,retention,,,,1.1.1.1,TEXT - BioSpecRetention
110,protocolSection.designModule.bioSpec.description,Free-text description providing details/context.,BioSpecDescription,N,,,N,Y,MARKUP,N,Biospecimen Description,,,4,protocolSection,designModule,bioSpec,description,,,,1.1.1.1,MARKUP (max 1000 chars) - markup
111,protocolSection.designModule.enrollmentInfo,Container for enrollment count.,EnrollmentInfo,N,,,N,N,STRUCT,N,,,Required for OBS but [Missing] is allowed,3,protocolSection,designModule,enrollmentInfo,,,,,1.1.1,STRUCT - EnrollmentInfo
112,protocolSection.designModule.enrollmentInfo.count,Number of participants enrolled: NUMERIC,EnrollmentCount,Y,,,N,Y,NUMERIC,N,Enrollment,,,4,protocolSection,designModule,enrollmentInfo,count,,,,1.1.1.1,NUMERIC - integer
113,protocolSection.designModule.enrollmentInfo.type,"Actual or estimated enrollment: ENUM (ACTUAL, ESTIMATED)",EnrollmentType,Y,,,N,Y,TEXT,Y,Enrollment Type,,,4,protocolSection,designModule,enrollmentInfo,type,,,,1.1.1.1,TEXT - EnrollmentType
114,protocolSection.armsInterventionsModule,,ArmsInterventionsModule,N,,,N,N,STRUCT,N,,,,2,protocolSection,armsInterventionsModule,,,,,,1.1,STRUCT - ArmsInterventionsModule
115,protocolSection.armsInterventionsModule.armGroups,,ArmGroup,N,,,Y,N,STRUCT,N,Arm Information,,Required for INT. Can be empty/missing but there has to be an Intervention,3,protocolSection,armsInterventionsModule,armGroups,,,,,1.1.1,STRUCT - ArmGroup[]
116,protocolSection.armsInterventionsModule.armGroups.label,Name of the arm/group: TEXT,ArmGroupLabel,N,,,N,Y,TEXT,N,Arm Group Label,,"Required for INT. Redacted for Withheld studies
 Required for OBS. Can be empty/missing if there only a single group",4,protocolSection,armsInterventionsModule,armGroups,label,,,,1.1.1.1,TEXT (max 100 chars) - text
117,protocolSection.armsInterventionsModule.armGroups.type,"Type of arm: ENUM (EXPERIMENTAL, ACTIVE_COMPARATOR, PLACEBO_COMPARATOR, SHAM_COMPARATOR, NO_INTERVENTION, OTHER)",ArmGroupType,N,,,N,Y,TEXT,Y,Arm Group Type,,Required for INT. Redacted for Withheld studies,4,protocolSection,armsInterventionsModule,armGroups,type,,,,1.1.1.1,TEXT - ArmGroupType
118,protocolSection.armsInterventionsModule.armGroups.description,Description of the arm/group: TEXT,ArmGroupDescription,N,,,N,Y,MARKUP,N,"Arm Description for INT, Group/Cohort Description for OBS",,"Required for FRED. Optional for EA if EA type is ""Individual Patients""",4,protocolSection,armsInterventionsModule,armGroups,description,,,,1.1.1.1,MARKUP (max 999 chars) - markup
119,protocolSection.armsInterventionsModule.armGroups.interventionNames,List of interventions used in this arm/group: ARRAY of TEXT,ArmGroupInterventionName,N,,,Y,Y,TEXT,N,Arm/Group that Receives a Specific Intervention/Treatment,,"If multiple Arms or Groups have been specified, indicate which Interventions (or exposures) are in each Arm or Group of the study",4,protocolSection,armsInterventionsModule,armGroups,interventionNames,,,,1.1.1.1,TEXT - text[]
120,protocolSection.armsInterventionsModule.interventions,,Intervention,N,,,Y,N,STRUCT,N,Intervention/Treatment,,At least one intervention must be specified for INT studies,3,protocolSection,armsInterventionsModule,interventions,,,,,1.1.1,STRUCT - Intervention[]
121,protocolSection.armsInterventionsModule.interventions.type,"Type of intervention: ENUM (BEHAVIORAL, BIOLOGICAL, COMBINATION_PRODUCT, DEVICE, DIAGNOSTIC_TEST, DIETARY_SUPPLEMENT, DRUG, GENETIC, PROCEDURE, RADIATION, OTHER)",InterventionType,N,,,N,Y,TEXT,Y,Intervention/Treatment Type,,Required for INT. Optional for OBS/EA. Redacted for Withheld studies,4,protocolSection,armsInterventionsModule,interventions,type,,,,1.1.1.1,TEXT - InterventionType
122,protocolSection.armsInterventionsModule.interventions.name,Name of the intervention: TEXT,InterventionName,N,,,N,Y,TEXT,N,Intervention Name,,Required for INT/OBS/EA,4,protocolSection,armsInterventionsModule,interventions,name,,,,1.1.1.1,TEXT (max 200 chars) - text
123,protocolSection.armsInterventionsModule.interventions.description,Description of the intervention: TEXT,InterventionDescription,N,,,N,Y,MARKUP,N,Intervention Description,,"Required for FRED. Optional for EA if EA type is ""Individual Patients""",4,protocolSection,armsInterventionsModule,interventions,description,,,,1.1.1.1,MARKUP (max 1000 chars) - markup
124,protocolSection.armsInterventionsModule.interventions.armGroupLabels,List of arm/group labels associated with this intervention: ARRAY of TEXT,InterventionArmGroupLabel,N,,,Y,Y,TEXT,N,Arm Group Label for Intervention,Arm/Group and Intervention Cross Reference,,4,protocolSection,armsInterventionsModule,interventions,armGroupLabels,,,,1.1.1.1,TEXT - text[]
125,protocolSection.armsInterventionsModule.interventions.otherNames,,InterventionOtherName,N,,,Y,Y,TEXT,N,Other Intervention Name,,"Conditionally required (if InterventionType is drug). Optional for EA if EA type is ""Individual Patients""",4,protocolSection,armsInterventionsModule,interventions,otherNames,,,,1.1.1.1,TEXT - text[]
126,protocolSection.outcomesModule,,OutcomesModule,N,,,N,N,STRUCT,N,Outcome Measure Module,,For INT/OBS. There should be at least one Primary Outcome Measure,2,protocolSection,outcomesModule,,,,,,1.1,STRUCT - OutcomesModule
127,protocolSection.outcomesModule.primaryOutcomes,,PrimaryOutcome,N,,,Y,N,STRUCT,N,,,,3,protocolSection,outcomesModule,primaryOutcomes,,,,,1.1.1,STRUCT - Outcome[]
128,protocolSection.outcomesModule.primaryOutcomes.measure,Name of the primary outcome measure: TEXT (max 255 chars),PrimaryOutcomeMeasure,N,,,N,Y,TEXT,N,Primary Outcome Title,,Required,4,protocolSection,outcomesModule,primaryOutcomes,measure,,,,1.1.1.1,TEXT (max 255 chars) - text
129,protocolSection.outcomesModule.primaryOutcomes.description,Description of the metric used to characterize the primary outcome measure: TEXT (max 999 chars),PrimaryOutcomeDescription,N,,,N,Y,MARKUP,N,Primary Outcome Measure Description,,,4,protocolSection,outcomesModule,primaryOutcomes,description,,,,1.1.1.1,MARKUP (max 999 chars) - markup
130,protocolSection.outcomesModule.primaryOutcomes.timeFrame,Time point(s) at which the outcome is measured: TEXT (max 255 chars),PrimaryOutcomeTimeFrame,N,,,N,Y,TEXT,N,Primary Outcome Measure Time Frame,,Required,4,protocolSection,outcomesModule,primaryOutcomes,timeFrame,,,,1.1.1.1,TEXT (max 255 chars) - text
131,protocolSection.outcomesModule.secondaryOutcomes,,SecondaryOutcome,N,,,Y,N,STRUCT,N,Secondary Outcome Measure,,"Conditional if there is Secondary Outcome Measure, the following fields, title, timeframe, are required.",3,protocolSection,outcomesModule,secondaryOutcomes,,,,,1.1.1,STRUCT - Outcome[]
132,protocolSection.outcomesModule.secondaryOutcomes.measure,Name of the secondary outcome measure: TEXT (max 255 chars),SecondaryOutcomeMeasure,N,,,N,Y,TEXT,N,Secondary Outcome Measure Title,,,4,protocolSection,outcomesModule,secondaryOutcomes,measure,,,,1.1.1.1,TEXT - text
133,protocolSection.outcomesModule.secondaryOutcomes.description,Description of the metric used to characterize the secondary outcome measure: TEXT (max 999 chars),SecondaryOutcomeDescription,N,,,N,Y,MARKUP,N,Secondary Outcome Measure Description,,,4,protocolSection,outcomesModule,secondaryOutcomes,description,,,,1.1.1.1,MARKUP - markup
134,protocolSection.outcomesModule.secondaryOutcomes.timeFrame,Time point(s) at which the outcome is measured: TEXT (max 255 chars),SecondaryOutcomeTimeFrame,N,,,N,Y,TEXT,N,Secondary Outcome Measure Time Frame,,,4,protocolSection,outcomesModule,secondaryOutcomes,timeFrame,,,,1.1.1.1,TEXT - text
135,protocolSection.outcomesModule.otherOutcomes,,OtherOutcome,N,,,Y,N,STRUCT,N,Other Outcome Measure,,"Optional but if there is Other Outcome Measure, the following fields, title, timeframe, are required.",3,protocolSection,outcomesModule,otherOutcomes,,,,,1.1.1,STRUCT - Outcome[]
136,protocolSection.outcomesModule.otherOutcomes.measure,Name of the pre-specified outcome measure: TEXT (max 255 chars),OtherOutcomeMeasure,N,,Y,N,Y,TEXT,N,Other Outcome Measure Measure Title,,,4,protocolSection,outcomesModule,otherOutcomes,measure,,,,1.1.1.1,TEXT - text
137,protocolSection.outcomesModule.otherOutcomes.description,Description of the metric used to characterize the outcome measure: TEXT (max 999 chars),OtherOutcomeDescription,N,,Y,N,Y,MARKUP,N,Other Outcome Measure Description,,,4,protocolSection,outcomesModule,otherOutcomes,description,,,,1.1.1.1,MARKUP - markup
138,protocolSection.outcomesModule.otherOutcomes.timeFrame,Time point(s) at which the outcome is measured: TEXT (max 255 chars),OtherOutcomeTimeFrame,N,,Y,N,Y,TEXT,N,Other Outcome Measure Time Frame,,,4,protocolSection,outcomesModule,otherOutcomes,timeFrame,,,,1.1.1.1,TEXT - text
139,protocolSection.eligibilityModule,Container for inclusion/exclusion and basic eligibility limits.,EligibilityModule,N,,,N,N,STRUCT,N,,,,2,protocolSection,eligibilityModule,,,,,,1.1,STRUCT - EligibilityModule
140,protocolSection.eligibilityModule.eligibilityCriteria,"Inclusion and exclusion criteria for participant selection, formatted as a bulleted list under respective headers: TEXT (max 20000 chars)",EligibilityCriteria,Y,,,N,Y,MARKUP,N,Inclusion and exclusion eligibility criteria,,"Required for INT/OBS/EA. Optional if EA type is ""Individual Patients""",3,protocolSection,eligibilityModule,eligibilityCriteria,,,,,1.1.1,MARKUP (max 20000 chars) - markup
141,protocolSection.eligibilityModule.healthyVolunteers,Indicates if healthy volunteers without the studied condition can participate: BOOLEAN,HealthyVolunteers,Y,,,N,Y,BOOLEAN,N,Accepts Healthy Volunteers,,"Required for FRED, ELG NOTE and ACT",3,protocolSection,eligibilityModule,healthyVolunteers,,,,,1.1.1,BOOLEAN - boolean
142,protocolSection.eligibilityModule.sex,"Eligible participant sex: ENUM (FEMALE, MALE, ALL)",Sex,Y,,,N,Y,TEXT,Y,Sex/Gender,,"Required for FRED, ELG NOTE and ACT. Redacted for Withheld studies
 Optional for EA if EA type is ""Individual Patients""",3,protocolSection,eligibilityModule,sex,,,,,1.1.1,TEXT - Sex
143,protocolSection.eligibilityModule.genderBased,Container or field used by the reporting schema; see child elements for specifics.,GenderBased,N,,,N,Y,BOOLEAN,N,Gender-Based Eligibility,,Redacted for Withheld studies,3,protocolSection,eligibilityModule,genderBased,,,,,1.1.1,BOOLEAN - boolean
144,protocolSection.eligibilityModule.genderDescription,Free-text description providing details/context.,GenderDescription,N,,,N,Y,MARKUP,N,Gender Description,,,3,protocolSection,eligibilityModule,genderDescription,,,,,1.1.1,MARKUP (max 1000 chars) - markup
145,protocolSection.eligibilityModule.minimumAge,"Minimum age required for participation, with unit of time: TEXT (Years, Months, Weeks, Days, Hours, Minutes, N/A)",MinimumAge,Y,,,N,Y,TIME,N,Minimum Age,,Required but data can be [Missing] if N/A (No limit) is selected,3,protocolSection,eligibilityModule,minimumAge,,,,,1.1.1,TIME - NormalizedTime
146,protocolSection.eligibilityModule.maximumAge,"Maximum age allowed for participation, with unit of time: TEXT (Years, Months, Weeks, Days, Hours, Minutes, N/A)",MaximumAge,Y,,,N,Y,TIME,N,Maximum Age,,Required but data can be [Missing] if N/A (No limit) is selected,3,protocolSection,eligibilityModule,maximumAge,,,,,1.1.1,TIME - NormalizedTime
147,protocolSection.eligibilityModule.stdAges,"Standardized age categories: ARRAY of ENUM (CHILD, ADULT, OLDER_ADULT)",StdAge,Y,,,Y,Y,TEXT,Y,Age Group,Ingest calculated the StdAge if there is minimumAge and/or maximimumAge entered. Redacted for Withheld studies,,3,protocolSection,eligibilityModule,stdAges,,,,,1.1.1,TEXT - StandardAge[]
148,protocolSection.eligibilityModule.studyPopulation,Container or field used by the reporting schema; see child elements for specifics.,StudyPopulation,N,,,N,Y,MARKUP,N,Study Population Description,,Required for OBS only. Redacted for Withheld studies.,3,protocolSection,eligibilityModule,studyPopulation,,,,,1.1.1,MARKUP (max 1000 chars) - markup
149,protocolSection.eligibilityModule.samplingMethod,Container or field used by the reporting schema; see child elements for specifics.,SamplingMethod,N,,,N,Y,TEXT,Y,Sampling Method,,Required for OBS only. Redacted for Withheld studies.,3,protocolSection,eligibilityModule,samplingMethod,,,,,1.1.1,TEXT - SamplingMethod
150,protocolSection.contactsLocationsModule,,ContactsLocationsModule,N,,,N,N,STRUCT,N,Contacts Locations Measure Module,,,2,protocolSection,contactsLocationsModule,,,,,,1.1,STRUCT - ContactsLocationsModule
151,protocolSection.contactsLocationsModule.centralContacts,,CentralContact,N,,,Y,N,STRUCT,N,Central Contact Person or Optional Central Contact Backup,,"Last Name/Official Title, Phone, Email are required for Central Contact Person. Redacted for Withheld studies
 Optional Central Contact Backup",3,protocolSection,contactsLocationsModule,centralContacts,,,,,1.1.1,STRUCT - Contact[]
152,protocolSection.contactsLocationsModule.centralContacts.name,,CentralContactName,N,,,N,Y,TEXT,N,Central Contact Name,,,4,protocolSection,contactsLocationsModule,centralContacts,name,,,,1.1.1.1,TEXT - text
153,protocolSection.contactsLocationsModule.centralContacts.role,,CentralContactRole,N,,,N,Y,TEXT,Y,Central Contact Role,Role for any Central Contact added,,4,protocolSection,contactsLocationsModule,centralContacts,role,,,,1.1.1.1,TEXT - ContactRole
154,protocolSection.contactsLocationsModule.centralContacts.phone,,CentralContactPhone,N,,,N,Y,TEXT,N,Central Contact Phone,,,4,protocolSection,contactsLocationsModule,centralContacts,phone,,,,1.1.1.1,TEXT - text
155,protocolSection.contactsLocationsModule.centralContacts.phoneExt,,CentralContactPhoneExt,N,,,N,Y,TEXT,N,Central Contact Phone Ext,,,4,protocolSection,contactsLocationsModule,centralContacts,phoneExt,,,,1.1.1.1,TEXT - text
156,protocolSection.contactsLocationsModule.centralContacts.email,,CentralContactEMail,N,,,N,Y,TEXT,N,Central Contact EMail,,,4,protocolSection,contactsLocationsModule,centralContacts,email,,,,1.1.1.1,TEXT - text
157,protocolSection.contactsLocationsModule.overallOfficials,,OverallOfficial,N,,,Y,N,STRUCT,N,Overall Study Official,,,3,protocolSection,contactsLocationsModule,overallOfficials,,,,,1.1.1,STRUCT - Official[]
158,protocolSection.contactsLocationsModule.overallOfficials.name,,OverallOfficialName,N,,,N,Y,TEXT,N,Overall Official Name,,,4,protocolSection,contactsLocationsModule,overallOfficials,name,,,,1.1.1.1,TEXT - text
159,protocolSection.contactsLocationsModule.overallOfficials.affiliation,,OverallOfficialAffiliation,N,,,N,Y,TEXT,N,Overall Official Affiliation,,,4,protocolSection,contactsLocationsModule,overallOfficials,affiliation,,,,1.1.1.1,TEXT (max 255 chars) - text
160,protocolSection.contactsLocationsModule.overallOfficials.role,,OverallOfficialRole,N,,,N,Y,TEXT,Y,Overall Official Role,,"Redacted for Withheld studies. PRS GUI has the following options
 •[Non-Selected]
 •Study Chair
 •Study Director
 •Study Principal Investigator",4,protocolSection,contactsLocationsModule,overallOfficials,role,,,,1.1.1.1,TEXT - OfficialRole
161,protocolSection.contactsLocationsModule.locations,,Location,N,,,Y,N,STRUCT,N,Location,,,3,protocolSection,contactsLocationsModule,locations,,,,,1.1.1,STRUCT - Location[]
162,protocolSection.contactsLocationsModule.locations.facility,,LocationFacility,N,,,N,Y,TEXT,N,Facility Name,,Required for FRED. Redacted for Withheld studies,4,protocolSection,contactsLocationsModule,locations,facility,,,,1.1.1.1,TEXT (max 254 chars) - text
163,protocolSection.contactsLocationsModule.locations.status,,LocationStatus,N,,,N,Y,TEXT,Y,Individual site recruitment status,,Required. Redacted for Withheld studies,4,protocolSection,contactsLocationsModule,locations,status,,,,1.1.1.1,TEXT - RecruitmentStatus
164,protocolSection.contactsLocationsModule.locations.city,,LocationCity,N,,,N,Y,TEXT,N,City,,Required. Redacted for Withheld studies,4,protocolSection,contactsLocationsModule,locations,city,,,,1.1.1.1,TEXT - GeoName
165,protocolSection.contactsLocationsModule.locations.state,,LocationState,N,,,N,Y,TEXT,N,State,,Required if US location. Redacted for Withheld studies,4,protocolSection,contactsLocationsModule,locations,state,,,,1.1.1.1,TEXT - GeoName
166,protocolSection.contactsLocationsModule.locations.zip,,LocationZip,N,,,N,Y,TEXT,N,Zipcode,,Required if US location. Redacted for Withheld studies,4,protocolSection,contactsLocationsModule,locations,zip,,,,1.1.1.1,TEXT - text
167,protocolSection.contactsLocationsModule.locations.country,,LocationCountry,N,,,N,Y,TEXT,N,Country,,Required. Redacted for Withheld studies,4,protocolSection,contactsLocationsModule,locations,country,,,,1.1.1.1,TEXT - text
168,protocolSection.contactsLocationsModule.locations.contacts,,LocationContact,N,,,Y,N,STRUCT,N,Facility Contact,,,4,protocolSection,contactsLocationsModule,locations,contacts,,,,1.1.1.1,STRUCT - Contact[]
169,protocolSection.contactsLocationsModule.locations.contacts.name,,LocationContactName,N,,,N,Y,TEXT,N,Location Contact Name,,,5,protocolSection,contactsLocationsModule,locations,contacts,name,,,1.1.1.1.1,TEXT - text
170,protocolSection.contactsLocationsModule.locations.contacts.role,,LocationContactRole,N,,,N,Y,TEXT,Y,Location Contact Role,,,5,protocolSection,contactsLocationsModule,locations,contacts,role,,,1.1.1.1.1,TEXT - ContactRole
171,protocolSection.contactsLocationsModule.locations.contacts.phone,,LocationContactPhone,N,,,N,Y,TEXT,N,Location Contact Phone,,,5,protocolSection,contactsLocationsModule,locations,contacts,phone,,,1.1.1.1.1,TEXT - text
172,protocolSection.contactsLocationsModule.locations.contacts.phoneExt,,LocationContactPhoneExt,N,,,N,Y,TEXT,N,Location Contact Phone Ext,,,5,protocolSection,contactsLocationsModule,locations,contacts,phoneExt,,,1.1.1.1.1,TEXT - text
173,protocolSection.contactsLocationsModule.locations.contacts.email,,LocationContactEMail,N,,,N,Y,TEXT,N,Location Contact EMail,,,5,protocolSection,contactsLocationsModule,locations,contacts,email,,,1.1.1.1.1,TEXT - text
174,protocolSection.contactsLocationsModule.locations.geoPoint,,LocationGeoPoint,N,,,N,Y,"FUNC GeoPoint(LocationCity, LocationState, LocationCountry)",N,Location Geo Point,,,4,protocolSection,contactsLocationsModule,locations,geoPoint,,,,1.1.1.1,"FUNC GeoPoint(LocationCity, LocationState, LocationCountry) - GeoPoint"
175,protocolSection.referencesModule,,ReferencesModule,N,,,N,N,STRUCT,N,,,,2,protocolSection,referencesModule,,,,,,1.1,STRUCT - ReferencesModule
176,protocolSection.referencesModule.references,,Reference,N,,,Y,N,STRUCT,N,Citations to publications related to the protocol,,,3,protocolSection,referencesModule,references,,,,,1.1.1,STRUCT - Reference[]
177,protocolSection.referencesModule.references.pmid,,ReferencePMID,N,,,N,Y,TEXT,N,PubMed Identifier,,,4,protocolSection,referencesModule,references,pmid,,,,1.1.1.1,TEXT - text
178,protocolSection.referencesModule.references.type,,ReferenceType,N,,,N,Y,TEXT,Y,Reference Type,,,4,protocolSection,referencesModule,references,type,,,,1.1.1.1,TEXT (max 2000 chars) - ReferenceType
179,protocolSection.referencesModule.references.citation,,ReferenceCitation,N,,,N,Y,TEXT,N,Reference Citation,,,4,protocolSection,referencesModule,references,citation,,,,1.1.1.1,TEXT - text
180,protocolSection.referencesModule.references.retractions,,Retraction,N,,,Y,N,STRUCT,N,,,,4,protocolSection,referencesModule,references,retractions,,,,1.1.1.1,STRUCT - Retraction[]
181,protocolSection.referencesModule.references.retractions.pmid,,RetractionPMID,N,,,N,Y,TEXT,N,PMID for Publication Retraction,PMID for publication retraction,,5,protocolSection,referencesModule,references,retractions,pmid,,,1.1.1.1.1,TEXT - text
182,protocolSection.referencesModule.references.retractions.source,,RetractionSource,N,,,N,Y,TEXT,N,,,,5,protocolSection,referencesModule,references,retractions,source,,,1.1.1.1.1,TEXT - text
183,protocolSection.referencesModule.seeAlsoLinks,,SeeAlsoLink,N,,,Y,N,STRUCT,N,See Also Measure Link,,,3,protocolSection,referencesModule,seeAlsoLinks,,,,,1.1.1,STRUCT (max 254 chars) - SeeAlsoLink[]
184,protocolSection.referencesModule.seeAlsoLinks.label,,SeeAlsoLinkLabel,N,,,N,Y,MARKUP,N,See Also Link Label Title,,EA does not have this data element,4,protocolSection,referencesModule,seeAlsoLinks,label,,,,1.1.1.1,MARKUP (max 3999 chars) - markup
185,protocolSection.referencesModule.seeAlsoLinks.url,,SeeAlsoLinkURL,N,,,N,Y,TEXT,N,,,EA does not have this data element,4,protocolSection,referencesModule,seeAlsoLinks,url,,,,1.1.1.1,TEXT - text
